ISIN,SYMBOL,NAME,INDEX
IT0001233417,A2A,A2a,MIB
IT0005350449,AED,Aedes,MIB
IT0001384590,AEF,Aeffe,MIB
IT0001382024,ACS,Acsm-Agam,MIB
IT0001207098,ACE,Acea,MIB
IT0001469953,ACO,Acotel Group,MIB
IT0001006128,ADB,Aeroporto Guglielmo Marconi Di Bologna,MIB
IT0004720733,ARN,Alerion Cleanpower,MIB
IT0004998065,ANIM,Anima Holding,MIB
IT0004056880,AMP,Amplifon,MIB
IT0001042297,ATH,Ambienthesis,MIB
IT0005314635,ALK,Alkemy,MIB
IT0004359037,ALW,Algowatt,MIB
IT0005241192,ECNL,Aquafil,MIB
IT0004093263,ASC,Ascopiave,MIB
IT0000084043,AUTME,Autostrade Meridionali,MIB
IT0003261697,AZM,Azimut Holding,MIB
IT0003506190,ATL,Atlantia,MIB
IT0005119810,AVIO,Avio,MIB
IT0000084027,AT,Astm,MIB
IT0001137345,AGL,Autogrill,MIB
IT0003261069,AST,Astaldi,MIB
NL0000235190,AIR,Airbus,GEM
US0079031078,AMD,Advanced Micro Devices,GEM
BE0974264930,AGS,Ageas,GEM
FR0000031122,AF,Air France-Klm,GEM
FR0000120073,AI,Air Liquide,GEM
DE000A1EWWW0,ADS,Adidas,GEM
NL0011794037,AD,Ahold Del,GEM
NL0000303709,AGN,Aegon,GEM
DE0008404005,ALV,Allianz,GEM
US02079K3059,GOOGL,Alphabet Classe A,GEM
US0378331005,AAPL,Apple,GEM
US0231351067,AMZN,Amazon,GEM
US02079K1079,GOOG,Alphabet Classe C,GEM
NL0010273215,ASML,Asml,GEM
BE0974293251,ABI,Anheuser-Busch,GEM
US0311621009,AMGN,Amgen,GEM
FR0000120628,AXA,Axa,GEM
IT0005244030,ABTG,Alfio Bardolla,AIM
IT0005216533,AGA,Agatos,AIM
IT0005338493,ABT,Abitare In,AIM
IT0005367427,AMM,Amm,AIM
IT0005337123,EVA,Askoll Eva,AIM
IT0005366601,AV,Antares Vision,AIM
IT0004779515,AMB,Ambromobiliare,AIM
IT0005386369,ABS,Arterra Bioscience,AIM
IT0001012639,ASSI,Assiteca,AIM
IT0005069809,AXEL,Axelero,AIM
IT0001031084,BGN,Banca Generali,MIB
IT0005218752,BMPS,Banca Monte Paschi Siena,MIB
IT0005108771,CRGR,Banca Carige Rsp,MIB
IT0000074077,BIM,Banca Intermobiliare,MIB
IT0000784196,BPSO,Banca Pop Sondrio,MIB
IT0003173629,BST,Banca Sistema,MIB
